"Sample","Observed_OTUs","Shannon","Simpson","Inv_Simpson","Pielou_Evenness"
"Cow_01","100","4.2868","0.9822","56.2478","0.9309"
"Cow_02","100","4.2735","0.9827","57.7508","0.928"
"Cow_03","100","4.2646","0.9821","55.7193","0.9261"
"Cow_04","100","4.2776","0.9828","58.2177","0.9289"
"Cow_05","100","4.3225","0.9838","61.7534","0.9386"
"Cow_06","100","4.2691","0.9815","53.9103","0.927"
"Cow_07","100","4.2183","0.9804","51","0.916"
"Cow_08","100","4.3421","0.9846","65.124","0.9429"
"Cow_09","100","4.3222","0.984","62.3549","0.9386"
"Cow_10","100","4.3476","0.9844","64.2171","0.9441"
