Sample,Cow_01,Cow_02,Cow_03,Cow_04,Cow_05,Cow_06,Cow_07,Cow_08,Cow_09,Cow_10
Cow_01,0,0.4434,0.3891,0.4186,0.389,0.4419,0.4366,0.4231,0.4836,0.3879
Cow_02,0.4434,0,0.4845,0.4897,0.4548,0.4443,0.4098,0.4213,0.4516,0.4495
Cow_03,0.3891,0.4845,0,0.4585,0.4248,0.4739,0.4666,0.4115,0.4726,0.4308
Cow_04,0.4186,0.4897,0.4585,0,0.4357,0.4461,0.4545,0.4221,0.477,0.4253
Cow_05,0.389,0.4548,0.4248,0.4357,0,0.4096,0.4148,0.4261,0.3973,0.3512
Cow_06,0.4419,0.4443,0.4739,0.4461,0.4096,0,0.4523,0.458,0.447,0.4042
Cow_07,0.4366,0.4098,0.4666,0.4545,0.4148,0.4523,0,0.4148,0.4353,0.4063
Cow_08,0.4231,0.4213,0.4115,0.4221,0.4261,0.458,0.4148,0,0.417,0.3978
Cow_09,0.4836,0.4516,0.4726,0.477,0.3973,0.447,0.4353,0.417,0,0.4129
Cow_10,0.3879,0.4495,0.4308,0.4253,0.3512,0.4042,0.4063,0.3978,0.4129,0
