OTU,Cow_01,Cow_02,Cow_03,Cow_04,Cow_05,Cow_06,Cow_07,Cow_08,Cow_09,Cow_10
OTU_001_Bacteroides_sp1,0.00926834,0.01302139,0.03810545,0.00898206,0.00512146,0.00846258,0.00449447,0.00769094,0.00342713,0.00499289
OTU_002_Prevotella_sp1,0.00278037,0.00136207,0.00318818,0.01062125,0.01224188,0.01362818,0.00176425,0.0014002,0.02305491,0.00026509
OTU_003_Ruminococcus_sp1,0.01504624,0.02902788,0.00442682,0.01227459,0.00569595,0.00852203,0.00226037,0.0082926,0.00771241,0.00841898
OTU_004_Clostridium_sp1,0.00269145,0.0046142,0.02243318,0.01316116,0.00730326,0.01257722,0.02008335,0.01004004,0.00667982,0.0107231
OTU_005_Lactobacillus_sp1,0.01500355,0.0034806,0.00991631,0.00351523,0.00754962,0.00302983,0.00470958,0.00392405,0.00733477,0.01138421
OTU_006_Bifidobacterium_sp1,0.0143974,0.00653364,0.0075792,0.00559305,0.00512595,0.00514981,0.00654108,0.01975666,0.00419112,0.00787069
OTU_007_Streptococcus_sp1,0.024097,0.00925389,0.00068466,0.02439128,0.01001327,0.01588858,0.0003406,0.00213922,0.00358644,0.00792832
OTU_008_Enterococcus_sp1,0.02171022,0.00384995,0.01731734,0.01318082,0.00803276,0.02206759,0.00905014,0.01234828,0.00962813,0.03535381
OTU_009_Escherichia_sp1,0.0025789,0.00906505,0.00303386,0.03520523,0.00422008,0.00608403,0.01129533,0.01114151,0.0042779,0.00765896
OTU_010_Faecalibacterium_sp1,0.00693175,0.01919673,0.00256541,0.0045738,0.00248515,0.02059087,0.00735746,0.01338652,0.00039347,0.01465723
OTU_011_Roseburia_sp1,0.00691372,0.00115234,0.00317459,0.00831997,0.00751232,0.0075719,0.00427033,0.00971398,0.00970281,0.02233632
OTU_012_Blautia_sp1,0.00205453,0.00285529,0.00416974,0.00672556,0.0085357,0.00381475,0.00961302,0.00635542,0.01301826,0.01496882
OTU_013_Coprococcus_sp1,0.00704972,0.01989452,0.00952494,0.00181527,0.0079028,0.003624,0.01048147,0.01616688,0.00473634,0.00244016
OTU_014_Dorea_sp1,0.0103839,0.02594002,0.00602867,0.00543038,0.01000259,0.01082594,0.02771645,0.00695802,0.01124243,0.01329889
OTU_015_Lachnospira_sp1,0.00743865,0.00906206,0.0166527,0.00181155,0.0043673,0.00309133,0.00072048,0.01571457,0.02000387,0.00798214
OTU_016_Eubacterium_sp1,0.00774729,0.01379196,0.00296724,0.00317481,0.01292879,0.01199638,0.00587691,0.00373559,0.00108071,0.00371624
OTU_017_Anaerostipes_sp1,0.02196377,0.00105754,0.01968024,0.01927256,0.04492185,0.00387747,0.00876267,0.02958741,0.00184595,0.00506561
OTU_018_Butyricicoccus_sp1,0.0007377,0.00383893,0.01257352,0.02268899,0.0041386,0.00276049,0.00357519,0.00121094,0.00772839,0.01207154
OTU_019_Oscillospira_sp1,0.00363559,0.00962856,0.00326817,0.00123793,0.00122303,0.00895495,0.00913613,0.00502125,0.01453655,0.01154042
OTU_020_Dialister_sp1,0.0035632,0.01356655,0.01328023,0.00402653,0.01079035,0.00782553,0.01020089,0.01560492,0.00346384,0.00474073
OTU_021_Megasphaera_sp1,0.01947069,0.00432174,0.00575581,0.03576426,0.01310401,0.00330101,0.0021567,0.00057951,0.00896497,0.00924984
OTU_022_Veillonella_sp1,0.00397011,0.01253905,0.01067385,0.00640547,0.00426788,0.00875605,0.00459643,0.00680921,0.00468039,0.00337449
OTU_023_Selenomonas_sp1,0.01227491,0.01613875,0.01174022,0.00426954,0.00106524,0.00472616,0.00347355,0.00653451,0.00449802,0.00557984
OTU_024_Succinivibrio_sp1,0.05970995,0.00240634,0.01312233,0.00338379,0.01510553,0.01086246,0.00738053,0.00760785,0.00714292,0.01301798
OTU_025_Fibrobacter_sp1,0.016012,0.01079729,0.01453572,0.00101555,0.01071068,0.01011339,0.01557186,0.02609255,0.00108734,0.01096854
OTU_026_Treponema_sp1,0.00478537,0.004023,0.00222686,0.00724545,0.02204506,0.00720331,0.0031972,0.01233569,0.02453647,0.02582622
OTU_027_Butyrivibrio_sp1,0.00767978,0.02415788,0.00757169,0.00925859,0.00676346,0.01235552,0.0031174,0.00337878,0.00924556,0.00140897
OTU_028_Pseudobutyrivibrio_sp1,0.01202775,0.00417345,0.01148431,0.01076409,0.0133968,0.01001206,0.00534911,0.00355305,0.0065837,0.00799032
OTU_029_Acetitomaculum_sp1,0.00098012,0.00486176,0.01515648,0.00478915,0.02080866,0.00899047,0.01811331,0.00343931,0.03198599,0.0194957
OTU_030_Succiniclasticum_sp1,0.01848841,0.00792784,0.00638221,0.00804156,0.01204944,0.01693596,0.03359842,0.00414008,0.00109242,0.00498625
OTU_031_Bacteroides_sp2,0.0214502,0.00760376,0.00368878,0.02598194,0.0027435,0.00113981,0.00448096,0.01246489,0.01434363,0.00617618
OTU_032_Prevotella_sp2,0.01780668,0.01771979,0.02120454,0.01628221,0.01333843,0.01085214,0.01773936,0.03000127,0.0054286,0.01173832
OTU_033_Ruminococcus_sp2,0.00340574,0.00170537,0.01395439,0.00133038,0.01099384,0.0075804,0.00142036,0.00154593,0.02032824,0.00167189
OTU_034_Clostridium_sp2,0.00137201,0.00859432,0.01345957,0.00608959,0.00162706,0.00505372,0.00521961,0.01594185,0.00796464,0.00253167
OTU_035_Lactobacillus_sp2,0.00490604,0.02271042,0.00292898,0.00257965,0.02042983,0.01470423,0.02272564,0.01405137,0.02644672,0.00589587
OTU_036_Bifidobacterium_sp2,0.01523826,0.00616432,0.02193493,0.02566329,0.01243718,0.00628938,0.01752029,0.01321995,0.00104086,0.01250707
OTU_037_Streptococcus_sp2,0.00640411,0.00739169,0.00353104,0.00204497,0.02214105,0.01972848,0.00856287,0.00624378,0.01003504,0.03555014
OTU_038_Enterococcus_sp2,0.01131741,0.0124485,0.00947809,0.00137082,0.0064754,0.00666916,0.0116538,0.00221383,0.00930318,0.00410628
OTU_039_Escherichia_sp2,0.00370735,0.00435096,0.01119058,0.01114494,0.00615073,0.00391509,0.00497633,0.01217327,0.01661179,0.00419537
OTU_040_Faecalibacterium_sp2,0.00271229,0.01420094,0.00809887,0.00263775,0.0056061,0.0105264,0.01127216,0.00664939,0.02785576,0.00542328
OTU_041_Roseburia_sp2,0.00600639,0.01103097,0.04180648,0.00171966,0.01165844,0.01377921,0.01508878,0.00324557,0.00224364,0.00568758
OTU_042_Blautia_sp2,0.00376803,0.00564156,0.01813866,0.00510626,0.01252047,0.00570624,0.04984321,0.02497288,0.0170964,0.01220134
OTU_043_Coprococcus_sp2,0.00937425,0.00432902,0.01541833,0.00422565,0.00709918,0.00444167,0.00292266,0.02005287,0.0007135,0.01386221
OTU_044_Dorea_sp2,0.0078618,0.00341844,0.0050638,0.01125838,0.00575489,0.01712698,0.0035114,0.00605437,0.00952841,0.00498721
OTU_045_Lachnospira_sp2,0.00899073,0.01753853,0.00316145,0.00748946,0.02600108,0.00299285,0.00900379,0.01072575,0.02074202,0.00411699
OTU_046_Eubacterium_sp2,0.00475512,0.03674771,0.01201249,0.00379673,0.02154367,0.00821516,0.02022443,0.0081131,0.03529281,0.00546779
OTU_047_Anaerostipes_sp2,0.00794283,0.01040049,0.00511506,0.00320939,0.00552718,0.00215175,0.00892975,0.0040462,0.0198852,0.00513119
OTU_048_Butyricicoccus_sp2,0.00348007,0.00574592,0.00971925,0.00806682,0.03075749,0.02088675,0.00174544,0.00423878,0.00528048,0.00369762
OTU_049_Oscillospira_sp2,0.00722629,0.00416855,0.00234304,0.00907404,0.01701748,0.00836082,0.00266085,0.00490639,0.00419327,0.00502762
OTU_050_Dialister_sp2,0.00266555,0.01423051,0.00158127,0.00918199,0.00194175,0.00383079,0.00339529,0.02236813,0.00185403,0.00122501
OTU_051_Megasphaera_sp2,0.00861054,0.01904678,0.00330533,0.00970661,0.00612313,0.00250664,0.0075159,0.00605855,0.01790402,0.00686091
OTU_052_Veillonella_sp2,0.02339852,0.03174077,0.01925717,0.00181081,0.01595302,0.00240873,0.00241835,0.00943301,0.00896464,0.02101966
OTU_053_Selenomonas_sp2,0.00887772,0.00695459,0.00101754,0.00355042,0.01615901,0.03900762,0.01216574,0.00129618,0.01260835,0.02265244
OTU_054_Succinivibrio_sp2,0.00880957,0.00420377,0.01209259,0.0055058,0.00794783,0.00632317,0.00146432,0.00558225,0.01519037,0.00488356
OTU_055_Fibrobacter_sp2,0.01622827,0.00694257,0.00079078,0.00148901,0.03105364,0.00587723,0.00798177,0.00964521,0.01956405,0.01334027
OTU_056_Treponema_sp2,0.00909759,0.00060051,0.00805847,0.03560855,0.00383181,0.00184109,0.03784954,0.01251553,0.0117644,0.00902702
OTU_057_Butyrivibrio_sp2,0.00549554,0.00188712,0.01742195,0.00124408,0.00637205,0.00807969,0.00591029,0.01115929,0.01604946,0.01281479
OTU_058_Pseudobutyrivibrio_sp2,0.01502447,0.00281487,0.01404936,0.01446383,0.00182319,0.00202815,0.02852181,0.00857918,0.00558754,0.03111414
OTU_059_Acetitomaculum_sp2,0.00944809,0.00516396,0.01564354,0.01596978,0.00931691,0.04087101,0.00181839,0.00076195,0.01083286,0.00195669
OTU_060_Succiniclasticum_sp2,0.00638911,0.00288377,0.00792627,0.00197822,0.00683501,0.00661411,0.00447426,0.02836196,0.00652292,0.00113609
OTU_061_Bacteroides_sp3,0.03141964,0.00278426,0.0048649,0.00122712,0.00596317,0.00975581,0.00054538,0.00990796,0.00533614,0.00302801
OTU_062_Prevotella_sp3,0.0022071,0.01079136,0.00151667,0.02355745,0.0019627,0.02002959,0.00348038,0.00796989,0.01229204,0.02024352
OTU_063_Ruminococcus_sp3,0.00736729,0.04219558,0.00379521,0.02642078,0.01090879,0.03335921,0.02212459,0.00372357,0.00102605,0.00223517
OTU_064_Clostridium_sp3,0.00985135,0.01191781,0.00683826,0.00263301,0.00452486,0.00282359,0.01616616,0.00109792,0.00398368,0.01232592
OTU_065_Lactobacillus_sp3,0.00868175,0.01976821,0.01371945,0.01166509,0.00035158,0.00270169,0.00650191,0.0230116,0.00637269,0.00200542
OTU_066_Bifidobacterium_sp3,0.03257689,0.00480101,0.00361628,0.0142204,0.00062627,0.04515684,0.02461051,0.01537873,0.02049466,0.01718389
OTU_067_Streptococcus_sp3,0.00667275,0.00247345,0.00458316,0.01946153,0.00801354,0.00376088,0.02329553,0.00589423,0.00916932,0.00732691
OTU_068_Enterococcus_sp3,0.00104781,0.0003048,0.00329758,0.01360512,0.01704271,0.01367452,0.00139639,0.02185475,0.00580933,0.00284266
OTU_069_Escherichia_sp3,0.00497105,0.00525874,0.00547748,0.01527735,0.01329993,0.00367958,0.00892268,0.00845932,0.00207685,0.01200269
OTU_070_Faecalibacterium_sp3,0.0069821,0.00165738,0.01689889,0.02932576,0.02834182,0.0150419,0.01219025,0.01044389,0.00681501,0.02301604
OTU_071_Roseburia_sp3,0.01529774,0.02937042,0.00746036,0.00819026,0.01595837,0.00402794,0.04886324,0.0240788,0.00677399,0.01059224
OTU_072_Blautia_sp3,0.00501346,0.00356581,0.00282757,0.00405188,0.00837522,0.01076375,0.01164197,0.01804055,0.01643903,0.01118624
OTU_073_Coprococcus_sp3,0.00661732,0.01556622,0.00074953,0.00616001,0.0008502,0.00929579,0.01010043,0.00845522,0.00551809,0.00241547
